S1_Temp,S1_Light,S1_Sound,S5_CO2,S6_PIR,Room_Occupancy_Count,day_of_month,week_day,month,year,hour,minute
24.94,121,0.08,390,0,1,22,4,12,2017,10,49
24.94,121,0.93,390,0,1,22,4,12,2017,10,50
25.0,121,0.43,390,0,1,22,4,12,2017,10,50
25.0,121,0.41,390,0,1,22,4,12,2017,10,51
25.0,121,0.18,390,0,1,22,4,12,2017,10,51
25.0,121,0.13,390,0,1,22,4,12,2017,10,52
25.0,120,1.39,390,1,1,22,4,12,2017,10,52
25.0,121,0.09,390,0,1,22,4,12,2017,10,53
25.0,122,0.09,390,0,1,22,4,12,2017,10,53
25.0,101,3.84,390,1,1,22,4,12,2017,10,54
25.06,122,2.2,390,1,1,22,4,12,2017,10,54
25.06,123,0.42,390,1,1,22,4,12,2017,10,55
25.06,123,0.21,390,1,1,22,4,12,2017,10,55
25.06,123,1.66,390,1,1,22,4,12,2017,10,56
25.06,123,0.57,390,1,1,22,4,12,2017,10,56
25.06,123,0.14,390,1,1,22,4,12,2017,10,57
25.06,122,0.24,395,0,1,22,4,12,2017,10,57
25.06,122,0.25,395,1,1,22,4,12,2017,10,58
25.06,123,0.23,395,1,1,22,4,12,2017,10,58
25.06,123,0.13,395,0,1,22,4,12,2017,10,59
25.13,123,0.13,390,0,1,22,4,12,2017,10,59
25.06,123,0.15,395,0,1,22,4,12,2017,11,0
25.13,123,0.11,395,0,1,22,4,12,2017,11,0
25.13,123,1.31,400,0,1,22,4,12,2017,11,1
25.13,124,0.11,400,0,1,22,4,12,2017,11,1
25.13,123,1.57,400,1,1,22,4,12,2017,11,2
25.13,123,0.21,405,1,1,22,4,12,2017,11,2
25.13,123,0.44,410,1,1,22,4,12,2017,11,3
25.13,123,0.46,410,1,1,22,4,12,2017,11,3
25.13,123,0.98,405,1,1,22,4,12,2017,11,4
25.19,123,0.15,405,0,1,22,4,12,2017,11,5
25.19,123,0.08,400,0,1,22,4,12,2017,11,5
25.19,123,0.09,410,1,1,22,4,12,2017,11,6
25.19,123,0.37,410,0,1,22,4,12,2017,11,6
25.19,122,0.08,405,0,1,22,4,12,2017,11,7
25.19,122,0.93,410,0,1,22,4,12,2017,11,7
25.19,123,0.07,410,0,1,22,4,12,2017,11,8
25.19,123,0.07,415,0,1,22,4,12,2017,11,8
25.19,123,0.08,420,0,1,22,4,12,2017,11,9
25.19,123,0.08,425,0,1,22,4,12,2017,11,9
25.19,123,1.27,425,0,1,22,4,12,2017,11,10
25.19,123,0.08,420,0,1,22,4,12,2017,11,10
25.19,123,0.1,420,0,1,22,4,12,2017,11,11
25.19,123,0.46,420,1,1,22,4,12,2017,11,11
