S1_Temp,S1_Light,S1_Sound,S5_CO2,S6_PIR,Room_Occupancy_Count,day_of_month,week_day,month,year,hour,minute
24.94,121,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,10,49
24.94,121,0.93,449.62476171365506,0,1,22,4,12,2017,10,50
25.0,121,0.43,449.62476171365506,0,1,22,4,12,2017,10,50
25.0,121,0.41,449.62476171365506,0,1,22,4,12,2017,10,51
25.0,121,0.18,449.62476171365506,0,1,22,4,12,2017,10,51
25.0,121,0.13,449.62476171365506,0,1,22,4,12,2017,10,52
25.0,120,1.39,449.62476171365506,1,1,22,4,12,2017,10,52
25.0,121,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,10,53
25.0,122,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,10,53
25.0,101,3.84,449.62476171365506,1,1,22,4,12,2017,10,54
25.06,122,2.2,449.62476171365506,1,1,22,4,12,2017,10,54
25.06,123,0.42,449.62476171365506,1,1,22,4,12,2017,10,55
25.06,123,0.21,449.62476171365506,1,1,22,4,12,2017,10,55
25.06,123,1.66,449.62476171365506,1,1,22,4,12,2017,10,56
25.06,123,0.57,449.62476171365506,1,1,22,4,12,2017,10,56
25.06,123,0.14,449.62476171365506,1,1,22,4,12,2017,10,57
25.06,122,0.24,449.62476171365506,0,1,22,4,12,2017,10,57
25.06,122,0.25,449.62476171365506,1,1,22,4,12,2017,10,58
25.06,123,0.23,449.62476171365506,1,1,22,4,12,2017,10,58
25.06,123,0.13,449.62476171365506,0,1,22,4,12,2017,10,59
25.13,123,0.13,449.62476171365506,0,1,22,4,12,2017,10,59
25.06,123,0.15,449.62476171365506,0,1,22,4,12,2017,11,0
25.13,123,0.11,449.62476171365506,0,1,22,4,12,2017,11,0
25.13,123,1.31,449.62476171365506,0,1,22,4,12,2017,11,1
25.13,124,0.11,449.62476171365506,0,1,22,4,12,2017,11,1
25.13,123,1.57,449.62476171365506,1,1,22,4,12,2017,11,2
25.13,123,0.21,449.62476171365506,1,1,22,4,12,2017,11,2
25.13,123,0.44,449.62476171365506,1,1,22,4,12,2017,11,3
25.13,123,0.46,449.62476171365506,1,1,22,4,12,2017,11,3
25.13,123,0.98,449.62476171365506,1,1,22,4,12,2017,11,4
25.19,123,0.15,449.62476171365506,0,1,22,4,12,2017,11,5
25.19,123,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,11,5
25.19,123,0.15827430520714528,449.62476171365506,1,1,22,4,12,2017,11,6
25.19,123,0.37,449.62476171365506,0,1,22,4,12,2017,11,6
25.19,122,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,11,7
25.19,122,0.93,449.62476171365506,0,1,22,4,12,2017,11,7
25.19,123,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,11,8
25.19,123,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,11,8
25.19,123,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,11,9
25.19,123,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,11,9
25.19,123,1.27,449.62476171365506,0,1,22,4,12,2017,11,10
25.19,123,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,11,10
25.19,123,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,11,11
25.19,123,0.46,449.62476171365506,1,1,22,4,12,2017,11,11
25.19,123,0.42,449.62476171365506,0,1,22,4,12,2017,11,12
25.19,124,0.17,449.62476171365506,0,1,22,4,12,2017,11,12
25.19,124,1.44,449.62476171365506,0,1,22,4,12,2017,11,13
25.25,124,0.76,449.62476171365506,1,1,22,4,12,2017,11,13
25.25,124,0.16,449.62476171365506,0,1,22,4,12,2017,11,14
25.25,124,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,11,14
25.25,123,0.28,449.62476171365506,0,1,22,4,12,2017,11,15
25.25,123,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,11,15
25.25,124,0.28,449.62476171365506,1,1,22,4,12,2017,11,16
25.25,123,0.24,449.62476171365506,0,1,22,4,12,2017,11,16
25.25,123,0.93,449.62476171365506,1,1,22,4,12,2017,11,17
25.25,123,0.15827430520714528,449.62476171365506,0,1,22,4,12,2017,11,17
25.25,123,0.68,449.62476171365506,0,1,22,4,12,2017,11,18
25.25,123,0.94,449.62476171365506,0,1,22,4,12,2017,11,18
25.25,123,0.12,449.62476171365506,0,1,22,4,12,2017,11,19
25.25,123,0.29,449.62476171365506,0,1,22,4,12,2017,11,19
25.25,124,0.83,449.62476171365506,0,1,22,4,12,2017,11,20
25.25,124,1.1,449.62476171365506,1,1,22,4,12,2017,11,20
25.25,124,0.83,449.62476171365506,0,1,22,4,12,2017,11,21
25.25,123,0.48,449.62476171365506,1,1,22,4,12,2017,11,21
25.31,123,0.65,449.62476171365506,0,1,22,4,12,2017,11,22
25.31,123,0.4,449.62476171365506,0,1,22,4,12,2017,11,22
25.31,124,0.49,449.62476171365506,0,1,22,4,12,2017,11,23
25.31,124,0.13,449.62476171365506,0,1,22,4,12,2017,11,23
25.31,124,0.35,449.62476171365506,0,1,22,4,12,2017,11,24
25.31,124,0.17,449.62476171365506,0,1,22,4,12,2017,11,24
25.31,124,1.85,449.62476171365506,0,1,22,4,12,2017,11,25
25.31,124,0.28,449.62476171365506,1,1,22,4,12,2017,11,25
25.31,123,0.36,449.62476171365506,1,1,22,4,12,2017,11,26
25.31,123,0.48,449.62476171365506,1,1,22,4,12,2017,11,27
25.31,124,0.51,449.62476171365506,1,1,22,4,12,2017,11,27
25.38,150,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,28
25.38,153,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,29
25.38,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,29
25.38,156,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,30
25.38,157,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,30
25.38,157,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,31
25.38,157,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,31
25.38,158,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,32
25.38,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,32
25.38,157,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,33
25.38,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,33
25.38,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,34
25.38,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,34
25.44,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,35
25.44,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,35
25.44,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,36
25.44,157,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,36
25.44,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,39
25.44,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,39
25.44,155,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,40
25.44,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,40
25.44,155,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,41
25.44,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,41
25.5,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,42
25.5,155,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,42
25.44,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,43
25.44,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,43
25.5,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,44
25.5,155,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,44
25.44,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,45
25.5,155,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,45
25.5,155,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,46
25.5,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,46
25.5,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,47
25.5,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,47
25.5,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,48
25.5,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,48
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,49
25.56,155,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,49
25.56,155,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,50
25.5,155,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,50
25.56,155,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,11,51
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,51
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,52
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,53
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,53
25.56,155,0.45,449.62476171365506,1,1,22,4,12,2017,11,54
25.56,155,0.31,449.62476171365506,1,1,22,4,12,2017,11,54
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,55
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,55
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,56
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,56
25.56,151,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,57
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,57
25.56,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,58
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,58
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,59
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,11,59
25.56,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,0
25.56,156,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,12,0
25.56,156,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,12,1
25.56,156,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,12,1
25.56,157,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,12,2
25.56,157,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,12,2
25.56,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,3
25.56,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,3
25.56,157,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,12,4
25.56,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,4
25.56,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,5
25.56,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,5
25.56,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,6
25.63,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,6
25.63,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,7
25.63,157,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,12,7
25.63,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,8
25.63,157,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,12,8
25.63,157,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,12,9
25.63,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,9
25.63,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,10
25.63,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,10
25.69,157,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,12,11
25.63,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,11
25.63,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,12
25.63,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,12
25.63,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,13
25.63,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,13
25.63,156,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,12,14
25.69,156,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,12,14
25.69,156,0.15827430520714528,449.62476171365506,0,2,22,4,12,2017,12,15
25.69,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,15
25.69,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,16
25.69,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,17
25.69,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,17
25.69,155,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,18
25.63,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,18
25.69,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,19
25.69,157,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,19
25.69,156,0.15827430520714528,449.62476171365506,1,2,22,4,12,2017,12,20
