,magnitude_of_delay,delay_in_seconds,luminosity,avg_temperature,avg_atm_pressure,avg_humidity,avg_wind_speed,avg_rain,incidents,National,Regional,day_of_month,week_day,month,hour,day_of_year,season,is_holiday,is_weekend
0,0,0,0,12.0,1013.0,70.0,1.0,0,0,0,0,15,0,3,23,74,0,0,1
1,0,385,0,12.0,1007.0,91.0,1.0,0,0,1,0,25,5,12,18,359,3,1,1
2,0,69,2,14.0,1025.0,64.0,0.0,0,1,0,0,12,4,3,15,71,0,0,1
3,2,2297,2,15.0,1028.0,75.0,1.0,0,4,10,1,29,2,9,9,272,3,0,1
4,0,0,2,27.0,1020.0,52.0,1.0,0,3,5,0,13,6,6,11,164,1,0,1
5,0,0,0,9.0,1015.0,94.0,0.0,0,2,8,0,7,1,12,23,341,3,0,1
6,0,0,0,8.0,1026.0,87.0,1.0,0,1,5,0,5,6,12,5,339,3,0,1
7,0,0,0,16.0,1012.0,71.0,2.0,0,3,5,0,14,2,4,23,104,0,0,1
8,0,1368,2,14.0,1017.0,67.0,5.0,0,4,9,0,1,5,5,12,121,0,1,1
9,2,10431,2,23.0,1018.0,40.0,0.0,0,4,29,0,11,0,10,18,284,2,0,1
10,0,0,2,23.0,1015.0,67.0,0.0,0,0,5,0,27,1,7,20,208,1,0,1
11,0,0,2,11.0,1017.0,76.0,2.0,0,0,5,0,24,2,11,12,328,3,0,1
12,0,0,2,7.0,1020.0,60.0,0.0,0,0,0,0,19,4,3,8,78,0,0,1
13,0,633,0,9.0,1030.0,65.0,1.0,0,2,7,0,6,5,11,20,310,2,0,1
14,0,167,2,16.0,1016.0,67.0,0.0,0,1,5,0,1,0,11,13,305,2,1,1
15,0,121,2,11.0,1003.0,91.0,2.0,2,2,0,0,20,2,1,10,20,3,0,1
16,0,0,0,17.0,1018.0,83.0,0.0,0,0,3,0,16,5,10,19,289,2,0,1
17,0,0,0,11.0,1018.0,82.0,1.0,0,0,0,0,6,5,3,1,65,0,0,1
18,2,1364,2,19.0,1020.0,60.0,0.0,0,3,8,0,13,5,11,12,317,2,0,1
19,2,2186,2,15.0,1020.0,64.0,1.0,0,3,8,0,20,5,11,11,324,2,0,1
20,0,0,0,15.0,1019.0,61.0,1.0,0,0,5,0,8,4,10,3,281,2,0,1
21,0,0,2,6.0,1025.0,88.0,2.0,0,0,5,0,12,6,12,8,346,3,0,1
22,0,463,2,12.0,1013.0,92.0,3.0,0,1,0,0,2,1,2,15,33,3,0,1
23,0,612,2,17.0,1017.0,67.0,1.0,0,4,8,0,5,0,4,10,95,0,0,1
24,0,0,0,12.0,1013.0,94.0,0.0,0,0,0,0,27,0,12,7,361,3,0,1
25,0,0,2,13.0,1008.0,91.0,2.0,1,3,5,0,25,6,4,7,115,1,1,1
26,0,0,0,9.0,1019.0,66.0,1.0,0,3,5,0,18,6,4,5,108,0,0,1
27,0,0,1,8.0,1020.0,76.0,2.0,0,0,5,0,13,5,11,7,317,2,0,1
28,0,0,0,19.0,1016.0,56.0,0.0,0,2,5,0,25,4,6,21,176,1,0,1
29,0,64,2,8.0,1012.0,91.0,4.0,0,2,0,0,22,4,1,9,22,3,0,1
30,0,0,0,13.0,1014.0,94.0,0.0,0,0,0,0,4,3,3,20,63,0,0,1
31,0,0,2,18.0,1019.0,55.0,0.0,0,3,5,0,3,3,6,17,154,1,1,1
32,0,0,0,11.0,1012.0,72.0,2.0,0,3,5,0,30,4,4,21,120,1,0,1
33,0,0,0,8.0,1025.0,56.0,2.0,0,0,5,0,16,3,12,3,350,3,0,1
34,0,0,2,10.0,1020.0,93.0,0.0,0,0,2,0,1,2,12,16,335,3,1,1
35,0,0,0,10.0,1023.0,65.0,4.0,0,0,5,0,18,3,11,3,322,2,0,1
36,0,0,2,14.0,1023.0,75.0,0.0,0,0,5,0,24,6,10,9,297,3,0,1
37,0,0,0,12.0,1018.0,90.0,0.0,0,2,5,0,30,2,6,1,181,1,0,1
38,2,6372,2,16.0,1017.0,47.0,0.0,0,4,21,1,19,0,4,18,109,0,0,1
39,0,0,0,8.0,1020.0,55.0,1.0,0,0,5,0,15,0,11,0,319,2,0,1
40,0,0,0,12.0,1017.0,73.0,2.0,0,0,5,0,20,0,12,4,354,3,0,1
41,0,0,0,16.0,1016.0,91.0,0.0,0,0,5,0,22,3,7,23,203,1,0,1
